1750241225.4912393,-0.4028
1750241225.5804946,-0.06003
1750241225.6203105,0.3093
1750241225.650924,0.3875
1750241230.0339582,0.11786
1750241230.1359758,-0.01814
1750241230.217986,-0.08875
1750241230.291769,-0.0367
1750241230.3137949,0.02396
1750241230.326065,0.1792
1750241230.335708,0.276
1750241230.344946,0.3987
1750241230.3694694,0.4478
1750241230.3972619,0.416
1750241230.4316428,0.3345
1750241230.4810612,0.149
1750241230.5014699,0.0756
1750241230.5350227,0.02017
1750241230.6034062,-0.1278
1750241230.6153286,-0.1761
1750241230.6776972,-0.2686
1750241230.7033846,-0.3625
1750241230.7139468,-0.4727
1750241230.7739334,-0.559
1750241230.830635,-0.665
1750241230.843682,-0.677
1750241230.896249,-0.725
1750241230.9485388,-0.7173
1750241230.9831905,-0.6245
1750241231.032606,-0.3647
1750241231.0524387,-0.2373
1750241231.0962903,-0.532
1750241231.1589825,-0.55
1750241231.2294781,-0.581
1750241231.2398672,-0.329
1750241231.2422073,-0.02112
1750241231.2522216,-0.04578
1750241231.3208902,0.268
1750241231.3375065,0.3628
1750241231.3438258,0.5356
1750241231.36275,0.6543
1750241231.386674,0.552
1750241231.4260411,0.5264
1750241231.448039,0.4092
1750241231.5135753,0.3733
1750241231.5328224,0.314
1750241231.6295528,0.2793
1750241231.6790302,0.1619
1750241231.7405064,-0.01032
1750241231.7748923,-0.1467
1750241231.8217537,-0.3545
1750241231.8296607,-0.4731
1750241231.836993,-0.5786
1750241231.8416681,-0.694
1750241231.8566997,-0.7812
1750241231.930235,-0.8066
1750241231.9540126,-0.816
1750241231.9644492,-0.796
1750241232.0257013,-0.708
1750241232.030796,-0.547
1750241232.0671635,-0.3193
1750241232.0988774,-0.0718
1750241232.6620655,0.03516
1750241232.7543535,0.06744
1750241234.0750256,0.2396
1750241234.1170678,0.2646
1750241234.1482723,0.12
1750241234.2212558,-0.1619
1750241234.3013175,-0.1804
1750241234.3251228,-0.2192
1750241234.3324385,-0.09644
1750241234.3348463,0.03223
1750241234.341314,0.3105
1750241234.3613605,0.5757
1750241234.407602,0.6343
1750241234.4462879,0.4749
1750241234.5004482,0.3547
1750241234.5516486,0.2903
1750241234.5885315,0.2292
1750241234.6355658,0.109
1750241234.6416683,-0.1195
1750241234.6669867,-0.2319
1750241234.6743944,-0.4045
1750241234.7251186,-0.55
1750241234.8472695,-0.633
1750241234.8847651,-0.704
1750241234.9304705,-0.698
1750241234.9753702,-0.6514
1750241235.1120863,-0.485
1750241235.1571264,-0.209
1750241235.176969,0.06354
1750241235.4362502,0.28
1750241235.5918007,0.315
1750241235.6060953,0.2788
1750241235.633492,0.267
1750241235.6741915,0.2925
1750241235.7337193,0.2947
1750241235.7381318,0.2524
1750241235.801088,0.2607
1750241235.8064563,-0.03445
1750241235.8717172,-0.2598
1750241235.8756964,-0.2277
1750241235.9754777,-0.2769
1750241235.996067,-0.1569
1750241236.0435026,-0.213
1750241236.054859,-0.158
1750241236.2252665,-0.436
